"Time","low","mid","up"
0,61,113,76
1,86,108,56
2,110,120,20
3,132,104,14
4,133,100,17
5,149,92,9
6,147,90,13
7,162,76,12
8,179,63,8
9,180,60,10
10,181,62,7
11,179,65,6
12,178,62,10
13,179,59,12
14,180,58,12
15,178,58,14
16,175,59,16
17,175,59,16
18,181,55,14
19,188,49,13
20,193,45,12
21,193,47,10
22,196,44,10
23,199,42,9
24,199,44,7
25,196,46,8
26,204,37,9
27,204,37,9
28,206,35,9
29,205,36,9
30,205,36,9
31,210,31,9
32,215,29,6
33,210,32,8
34,208,34,8
35,210,32,8
36,211,31,8
37,212,31,7
38,211,31,8
39,210,33,7
40,209,34,7
41,213,30,7
42,215,29,6
43,212,31,7
44,212,31,7
45,216,28,6
46,220,25,5
47,221,24,5
48,220,25,5
49,219,28,3
50,219,28,3
51,220,27,3
52,222,25,3
53,222,25,3
54,225,22,3
55,226,21,3
56,224,23,3
57,223,24,3
58,224,23,3
59,224,23,3
60,225,19,6
61,224,20,6
62,224,22,4
63,222,23,5
64,222,22,6
65,221,23,6
66,220,25,5
67,221,22,7
68,222,22,6
69,221,23,6
70,225,19,6
71,225,19,6
72,229,16,5
73,229,15,6
74,232,14,4
75,230,15,5
76,229,16,5
77,224,21,5
78,224,20,6
79,223,21,6
80,223,22,5
81,224,20,6
82,225,19,6
83,225,19,6
84,225,18,7
85,223,20,7
86,223,20,7
87,224,19,7
88,221,22,7
89,220,24,6
90,219,25,6
91,220,24,6
92,219,25,6
93,219,24,7
94,222,22,6
95,224,21,5
96,223,22,5
97,223,22,5
98,222,24,4
99,222,24,4
100,224,22,4
101,223,23,4
102,220,25,5
103,220,25,5
104,217,29,4
105,213,25,12
106,211,27,12
107,215,26,9
108,213,28,9
109,213,26,11
110,215,26,9
111,216,26,8
112,218,25,7
113,222,22,6
114,222,20,8
115,226,18,6
116,227,18,5
117,226,19,5
118,228,18,4
119,227,18,5
120,225,20,5
121,226,19,5
122,227,19,4
123,227,21,2
124,227,21,2
125,224,24,2
126,223,24,3
127,224,22,4
128,219,26,5
129,220,25,5
130,221,24,5
131,216,29,5
132,216,29,5
133,218,29,3
134,219,28,3
135,206,38,6
136,212,31,7
137,211,32,7
138,213,31,6
139,213,30,7
140,215,26,9
141,216,23,11
142,217,23,10
143,215,27,8
144,216,24,10
145,219,21,10
146,220,22,8
147,219,23,8
148,217,25,8
149,218,25,7
150,223,21,6
151,224,21,5
152,224,20,6
153,223,21,6
154,223,21,6
155,225,19,6
156,226,18,6
157,226,18,6
158,227,18,5
159,229,15,6
160,228,16,6
161,228,16,6
162,229,15,6
163,231,13,6
164,232,12,6
165,233,11,6
166,234,11,5
167,237,8,5
168,237,8,5
169,233,13,4
170,234,12,4
171,232,15,3
172,231,16,3
173,232,15,3
174,233,15,2
175,233,15,2
176,235,13,2
177,232,16,2
178,234,14,2
179,237,11,2
180,240,8,2
181,241,7,2
182,242,6,2
183,245,3,2
184,243,5,2
185,243,5,2
186,243,5,2
187,242,6,2
