"Time","low","mid","up"
0,81,94,75
1,89,108,53
2,119,120,11
3,132,109,9
4,131,107,12
5,129,101,20
6,130,103,17
7,136,93,21
8,139,91,20
9,154,81,15
10,174,66,10
11,196,52,2
12,205,43,2
13,209,40,1
14,208,41,1
15,212,37,1
16,163,68,19
17,176,57,17
18,187,47,16
19,184,50,16
20,187,50,13
21,186,52,12
22,190,47,13
23,193,46,11
24,194,46,10
25,196,43,11
26,195,42,13
27,204,35,11
28,205,35,10
29,207,34,9
30,212,32,6
31,214,31,5
32,215,30,5
33,216,30,4
34,218,29,3
35,218,29,3
36,217,30,3
37,219,28,3
38,225,22,3
39,227,20,3
40,227,20,3
41,227,20,3
42,227,20,3
43,229,19,2
44,230,18,2
45,233,16,1
46,235,14,1
47,234,15,1
48,235,14,1
49,233,16,1
50,234,15,1
51,236,13,1
52,235,14,1
53,234,15,1
54,236,13,1
55,237,12,1
56,238,11,1
57,239,10,1
58,242,7,1
59,242,7,1
60,242,7,1
61,242,7,1
62,240,9,1
63,240,9,1
64,226,18,6
65,224,18,8
66,223,19,8
67,227,17,6
68,228,17,5
69,227,18,5
70,229,16,5
71,232,14,4
72,233,14,3
73,233,14,3
74,231,16,3
75,230,16,4
76,231,15,4
77,229,17,4
78,227,19,4
79,228,17,5
80,229,16,5
81,229,15,6
82,227,17,6
83,229,17,4
84,229,17,4
85,231,15,4
86,233,12,5
87,234,12,4
88,233,13,4
89,234,12,4
90,233,13,4
91,232,14,4
92,235,12,3
93,236,11,3
94,236,11,3
95,236,11,3
96,237,10,3
97,238,9,3
98,237,10,3
99,241,6,3
100,241,6,3
101,241,6,3
102,240,7,3
103,240,7,3
104,232,16,2
105,234,14,2
106,235,14,1
107,221,26,3
108,223,24,3
109,222,24,4
110,220,25,5
111,220,24,6
112,220,25,5
113,218,26,6
114,219,23,8
115,223,19,8
116,222,19,9
117,219,22,9
118,219,21,10
119,219,22,9
120,221,21,8
121,220,20,10
122,222,19,9
123,222,20,8
124,218,23,9
125,218,24,8
126,217,25,8
127,217,24,9
128,216,26,8
129,217,26,7
130,217,26,7
131,218,23,9
132,215,24,11
133,214,26,10
134,215,25,10
135,219,21,10
136,223,18,9
137,223,19,8
138,226,16,8
139,226,17,7
140,224,18,8
141,224,18,8
142,226,17,7
143,226,17,7
144,229,12,9
145,229,15,6
146,233,10,7
147,233,10,7
148,233,11,6
149,233,12,5
150,234,10,6
151,232,12,6
152,232,12,6
153,231,13,6
154,232,12,6
155,231,11,8
156,232,11,7
157,232,11,7
158,233,10,7
159,233,10,7
160,234,9,7
161,235,9,6
162,235,9,6
163,233,12,5
164,233,13,4
165,233,13,4
166,233,13,4
167,238,10,2
168,239,9,2
169,239,9,2
170,239,9,2
171,239,9,2
172,240,8,2
173,238,10,2
174,238,10,2
175,238,10,2
176,238,10,2
177,238,10,2
178,240,9,1
179,240,9,1
180,240,9,1
181,240,9,1
182,239,10,1
183,210,28,12
184,210,28,12
185,212,27,11
186,213,26,11
187,218,22,10
188,218,22,10
189,215,21,14
190,217,20,13
191,217,21,12
192,219,20,11
193,219,20,11
194,221,20,9
195,220,22,8
196,221,21,8
197,219,23,8
198,222,20,8
199,219,23,8
200,218,23,9
201,217,24,9
202,217,25,8
203,217,25,8
204,218,24,8
205,223,19,8
206,223,19,8
207,220,22,8
208,221,22,7
209,222,23,5
210,228,18,4
211,230,18,2
212,233,14,3
213,236,11,3
214,236,11,3
215,238,10,2
216,239,9,2
217,240,8,2
218,241,7,2
219,241,7,2
220,240,8,2
221,242,6,2
222,242,6,2
223,243,6,1
224,243,6,1
225,243,6,1
226,243,6,1
227,243,6,1
228,243,6,1
229,244,5,1
230,245,4,1
231,244,5,1
232,243,6,1
233,242,7,1
234,242,7,1
235,243,6,1
236,243,6,1
237,243,6,1
238,244,5,1
239,244,5,1
240,220,23,7
241,217,25,8
242,216,26,8
243,217,25,8
244,214,27,9
