"Time","low","mid","up"
0,28,40,32
1,17,52,31
2,14,68,18
3,15,68,17
4,14,74,12
5,17,69,14
6,23,68,9
7,24,65,11
8,28,62,10
9,32,58,10
10,36,52,12
11,39,51,10
12,43,49,8
13,48,45,7
14,50,42,8
15,50,40,10
16,50,41,9
17,50,41,9
18,51,40,9
19,53,37,10
20,55,36,9
21,54,38,8
22,54,38,8
23,54,38,8
24,58,34,8
25,60,32,8
26,61,31,8
27,61,31,8
28,63,28,9
29,65,27,8
30,67,27,6
31,68,26,6
32,67,27,6
33,68,27,5
34,71,24,5
35,71,24,5
36,70,24,6
37,70,25,5
38,72,23,5
39,72,23,5
40,72,21,7
41,71,22,7
42,71,22,7
43,71,22,7
44,70,23,7
45,70,23,7
46,71,21,8
47,70,22,8
48,70,22,8
49,71,22,7
50,71,22,7
51,71,21,8
52,73,19,8
53,74,17,9
54,76,15,9
55,77,14,9
56,77,14,9
57,79,12,9
58,79,12,9
59,79,12,9
60,80,11,9
61,80,11,9
62,83,9,8
63,84,9,7
64,83,10,7
65,84,9,7
66,84,9,7
67,86,8,6
68,81,13,6
69,82,12,6
70,82,12,6
71,82,12,6
72,83,10,7
73,85,8,7
74,86,9,5
75,87,9,4
76,86,10,4
77,86,10,4
78,89,7,4
79,89,7,4
80,90,6,4
81,90,6,4
82,90,6,4
83,90,7,3
84,90,7,3
85,89,8,3
86,89,8,3
87,90,8,2
88,92,6,2
89,92,6,2
90,92,6,2
91,92,6,2
92,92,6,2
93,93,5,2
94,93,5,2
95,94,5,1
96,90,5,5
97,90,5,5
98,89,6,5
99,88,7,5
100,87,8,5
101,86,9,5
102,86,9,5
103,88,8,4
104,91,6,3
105,91,6,3
106,91,6,3
107,90,7,3
108,93,4,3
109,92,5,3
110,91,6,3
111,91,6,3
112,92,5,3
113,92,5,3
114,93,4,3
115,93,4,3
116,93,4,3
117,93,4,3
118,94,3,3
119,94,3,3
120,94,3,3
121,94,3,3
122,94,3,3
123,94,3,3
124,95,3,2
125,94,4,2
126,93,5,2
127,93,5,2
128,92,5,3
129,92,5,3
130,92,5,3
131,93,4,3
132,93,4,3
133,93,4,3
134,92,5,3
135,92,5,3
136,93,5,2
137,90,8,2
138,90,8,2
139,90,8,2
140,90,8,2
141,90,8,2
142,90,8,2
143,92,6,2
144,92,6,2
145,92,6,2
146,92,6,2
147,92,7,1
148,93,6,1
149,93,6,1
150,93,6,1
151,94,5,1
152,93,5,2
153,93,5,2
154,93,5,2
155,92,6,2
156,92,5,3
157,92,5,3
158,92,5,3
159,92,5,3
160,91,6,3
161,91,6,3
162,91,6,3
163,92,5,3
164,92,4,4
165,92,4,4
166,92,4,4
167,92,4,4
168,92,4,4
169,92,4,4
170,93,3,4
171,95,3,2
172,93,5,2
173,93,4,3
174,93,4,3
175,93,4,3
176,94,3,3
177,94,3,3
178,95,3,2
179,95,3,2
180,95,3,2
181,95,3,2
182,95,3,2
183,95,3,2
184,95,3,2
185,95,3,2
186,95,3,2
187,95,3,2
188,94,4,2
189,93,6,1
190,93,6,1
191,93,6,1
192,93,6,1
193,94,5,1
194,94,5,1
195,94,5,1
196,94,5,1
197,94,5,1
198,91,4,5
199,92,4,4
200,92,4,4
201,92,5,3
202,92,5,3
203,92,5,3
204,92,5,3
205,93,5,2
206,93,5,2
207,93,5,2
208,93,5,2
209,94,4,2
210,94,4,2
211,94,4,2
212,94,4,2
213,94,4,2
214,94,4,2
215,95,4,1
216,95,4,1
217,95,4,1
218,95,4,1
219,95,4,1
220,95,4,1
221,95,4,1
222,95,4,1
223,95,4,1
224,96,3,1
225,97,2,1
226,97,2,1
227,97,2,1
228,97,2,1
229,96,3,1
230,95,4,1
231,95,4,1
232,95,4,1
233,95,4,1
234,95,4,1
235,96,3,1
236,96,3,1
237,95,4,1
238,95,1,4
239,95,1,4
240,96,1,3
241,96,1,3
242,96,1,3
243,96,1,3
244,95,2,3
245,95,2,3
246,95,2,3
247,95,2,3
248,96,1,3
249,96,1,3
250,96,1,3
251,96,1,3
252,95,2,3
253,94,3,3
254,95,2,3
255,94,3,3
256,94,3,3
257,94,4,2
258,94,4,2
259,94,4,2
260,95,3,2
261,95,3,2
262,95,3,2
263,95,3,2
264,95,3,2
265,95,3,2
266,95,3,2
267,95,2,3
268,95,2,3
269,95,2,3
270,95,2,3
271,96,0,4
272,94,2,4
273,95,1,4
274,94,2,4
275,94,2,4
276,94,2,4
277,94,2,4
278,96,1,3
279,96,1,3
280,96,1,3
281,97,0,3
282,98,0,2
283,98,0,2
284,98,0,2
285,99,0,1
286,99,0,1
287,99,0,1
288,99,0,1
289,98,1,1
290,98,1,1
291,98,1,1
292,98,1,1
293,98,1,1
294,98,1,1
295,97,2,1
296,97,2,1
297,96,3,1
298,89,8,3
299,89,8,3
300,90,8,2
301,90,8,2
302,91,7,2
303,91,7,2
304,91,7,2
305,91,6,3
306,91,6,3
307,91,6,3
308,91,6,3
309,90,5,5
310,90,5,5
311,91,4,5
312,91,4,5
313,91,4,5
314,91,4,5
315,91,5,4
316,91,5,4
317,91,5,4
318,91,5,4
319,91,5,4
320,90,6,4
321,90,6,4
322,90,6,4
323,90,6,4
324,90,6,4
325,91,4,5
326,91,5,4
327,91,5,4
328,91,5,4
329,92,5,3
330,92,5,3
331,93,4,3
332,93,4,3
333,93,4,3
334,93,4,3
335,93,4,3
336,94,3,3
337,95,3,2
338,95,3,2
339,95,3,2
340,95,3,2
341,96,3,1
342,97,2,1
343,97,2,1
344,97,2,1
345,97,2,1
346,98,1,1
347,97,2,1
348,97,2,1
349,97,2,1
350,97,2,1
351,97,2,1
352,97,2,1
353,97,2,1
354,97,2,1
355,95,3,2
356,94,4,2
357,94,4,2
358,94,4,2
359,94,4,2
360,94,4,2
361,94,4,2
362,94,4,2
363,93,5,2
364,93,5,2
365,93,6,1
366,92,7,1
367,92,7,1
368,92,7,1
369,92,7,1
370,92,7,1
371,91,8,1
372,91,8,1
373,91,7,2
374,90,8,2
375,90,8,2
376,90,8,2
377,90,8,2
378,90,8,2
379,90,8,2
380,90,8,2
381,90,8,2
382,90,8,2
383,91,7,2
384,91,7,2
385,90,8,2
386,90,8,2
387,90,8,2
388,90,8,2
389,91,7,2
390,91,7,2
391,91,7,2
392,93,6,1
393,93,6,1
394,93,6,1
395,93,6,1
396,94,5,1
397,93,6,1
398,93,6,1
399,93,6,1
400,93,6,1
401,93,6,1
402,94,5,1
403,94,5,1
404,94,5,1
405,94,5,1
406,94,5,1
407,94,5,1
408,94,5,1
409,94,5,1
410,94,5,1
411,94,5,1
412,94,5,1
413,94,5,1
414,95,4,1
415,95,4,1
416,94,5,1
417,94,5,1
418,94,5,1
419,95,4,1
420,95,4,1
421,95,4,1
422,95,4,1
423,95,4,1
424,95,4,1
425,94,5,1
426,94,5,1
427,94,5,1
428,94,5,1
429,95,4,1
430,95,4,1
431,95,4,1
432,95,4,1
433,93,5,2
434,94,5,1
435,94,5,1
436,94,5,1
437,94,5,1
438,94,3,3
439,94,3,3
440,94,2,4
441,96,1,3
442,96,1,3
443,96,1,3
444,95,2,3
445,95,2,3
446,95,2,3
447,95,2,3
448,95,2,3
449,96,2,2
450,96,2,2
451,96,2,2
452,96,2,2
453,96,2,2
454,96,3,1
455,96,3,1
456,95,4,1
457,95,4,1
458,95,4,1
459,95,4,1
460,95,4,1
461,95,4,1
462,95,4,1
463,95,4,1
464,94,5,1
465,94,5,1
466,94,5,1
467,94,5,1
468,94,5,1
469,94,5,1
470,95,4,1
471,95,4,1
472,96,3,1
473,96,3,1
474,96,2,2
475,96,2,2
476,96,2,2
477,96,2,2
478,96,3,1
479,96,3,1
480,96,1,3
481,95,2,3
482,94,3,3
483,94,3,3
484,94,3,3
485,94,3,3
486,94,3,3
487,95,2,3
488,96,2,2
489,96,2,2
490,96,3,1
491,95,4,1
492,95,4,1
493,95,3,2
494,95,3,2
495,95,3,2
496,95,3,2
497,96,2,2
498,96,2,2
499,96,2,2
500,96,2,2
