"Time","low","mid","up"
0,275,427,298
1,328,460,212
2,383,494,123
3,508,434,58
4,531,403,66
5,609,359,32
6,640,340,20
7,655,327,18
8,708,277,15
9,706,273,21
10,728,249,23
11,743,236,21
12,776,205,19
13,779,204,17
14,798,186,16
15,782,203,15
16,809,178,13
17,807,179,14
18,839,152,9
19,850,141,9
20,882,114,4
21,871,125,4
22,879,116,5
23,885,110,5
24,881,111,8
25,882,110,8
26,878,114,8
27,883,107,10
28,894,95,11
29,893,95,12
30,898,90,12
31,897,90,13
32,901,86,13
33,895,92,13
34,901,85,14
35,908,80,12
36,919,71,10
37,922,69,9
38,932,60,8
39,935,57,8
40,938,55,7
41,941,52,7
42,942,51,7
43,942,51,7
44,949,45,6
45,951,43,6
46,954,42,4
47,961,36,3
48,964,33,3
49,969,28,3
50,970,27,3
51,969,28,3
52,971,26,3
53,970,27,3
54,970,28,2
55,969,29,2
56,970,28,2
57,945,48,7
58,925,61,14
59,931,54,15
60,930,56,14
61,927,60,13
62,943,44,13
63,937,50,13
64,940,48,12
65,940,49,11
66,941,50,9
67,937,54,9
68,935,56,9
69,940,51,9
70,945,47,8
71,954,39,7
72,954,37,9
73,956,35,9
74,953,38,9
75,954,39,7
76,954,39,7
77,954,39,7
78,953,42,5
79,955,39,6
80,958,34,8
81,957,35,8
82,960,32,8
83,959,33,8
84,958,34,8
85,960,33,7
86,962,33,5
87,964,32,4
88,965,32,3
89,971,26,3
90,974,24,2
91,977,21,2
92,941,55,4
93,940,56,4
94,923,67,10
95,928,62,10
96,941,51,8
97,947,45,8
98,950,43,7
99,954,39,7
100,955,39,6
101,939,52,9
102,940,51,9
103,947,45,8
104,954,38,8
105,956,38,6
106,959,36,5
107,962,33,5
108,964,31,5
109,960,35,5
110,962,34,4
111,963,33,4
112,963,34,3
113,959,38,3
114,958,39,3
115,957,39,4
116,958,38,4
117,958,39,3
118,963,35,2
119,966,32,2
120,968,30,2
121,971,27,2
122,972,26,2
123,973,25,2
124,973,25,2
125,973,25,2
126,972,26,2
127,974,24,2
128,971,27,2
129,973,25,2
130,932,60,8
131,931,62,7
132,931,62,7
133,929,64,7
134,931,63,6
135,927,67,6
136,925,67,8
137,935,61,4
138,937,59,4
139,938,58,4
140,935,59,6
141,941,55,4
142,945,51,4
143,953,43,4
144,954,42,4
145,961,35,4
146,962,34,4
147,964,32,4
148,964,32,4
149,966,29,5
150,965,31,4
151,961,35,4
152,961,35,4
153,959,36,5
154,962,33,5
155,960,35,5
156,958,37,5
157,963,32,5
158,964,32,4
159,962,32,6
160,957,37,6
161,959,35,6
162,958,36,6
163,958,36,6
164,958,36,6
165,959,34,7
166,959,34,7
167,959,35,6
168,960,34,6
169,962,32,6
170,963,31,6
171,964,31,5
172,964,30,6
173,966,29,5
174,968,27,5
175,970,25,5
176,974,20,6
177,976,18,6
178,973,21,6
179,973,23,4
180,976,19,5
181,973,22,5
182,972,24,4
183,966,31,3
184,964,33,3
185,964,33,3
186,962,35,3
187,962,35,3
188,966,31,3
189,969,28,3
190,967,30,3
191,968,29,3
192,965,32,3
193,967,30,3
194,972,26,2
195,976,20,4
196,973,23,4
197,975,21,4
198,975,21,4
199,977,19,4
200,979,17,4
201,982,14,4
202,982,15,3
203,954,41,5
204,957,38,5
205,956,39,5
206,959,36,5
207,961,33,6
208,966,28,6
209,966,28,6
210,971,23,6
211,974,20,6
212,979,17,4
213,980,16,4
214,983,13,4
215,970,27,3
216,977,21,2
217,978,20,2
218,983,15,2
219,981,17,2
220,979,19,2
221,979,20,1
222,981,17,2
223,981,18,1
224,980,19,1
225,980,19,1
226,982,16,2
227,983,15,2
228,985,13,2
229,985,13,2
230,985,13,2
231,984,14,2
232,985,13,2
233,985,12,3
234,985,12,3
235,983,14,3
236,982,15,3
237,982,16,2
238,981,17,2
239,982,16,2
240,979,19,2
241,978,20,2
242,977,21,2
243,978,21,1
244,941,48,11
245,943,46,11
246,947,43,10
247,951,41,8
248,928,60,12
249,934,56,10
250,938,52,10
251,944,47,9
252,945,48,7
253,946,48,6
254,947,49,4
255,954,42,4
256,958,38,4
257,964,32,4
258,966,31,3
259,966,31,3
260,968,29,3
261,973,24,3
262,979,18,3
263,979,18,3
264,979,19,2
265,955,41,4
266,958,38,4
267,964,33,3
268,968,29,3
269,972,25,3
270,977,20,3
271,982,15,3
272,977,21,2
273,980,18,2
274,981,17,2
275,982,17,1
276,984,15,1
277,986,13,1
278,983,15,2
279,988,10,2
280,988,10,2
281,989,9,2
282,989,9,2
283,991,7,2
284,992,6,2
285,992,6,2
286,992,6,2
287,992,6,2
288,977,21,2
289,978,20,2
290,960,34,6
291,961,34,5
292,962,33,5
293,964,30,6
294,965,29,6
295,966,28,6
296,970,26,4
297,971,26,3
298,974,23,3
299,978,20,2
300,981,18,1
301,982,17,1
302,983,16,1
303,981,17,2
304,980,19,1
305,983,16,1
306,984,14,2
307,982,16,2
308,978,20,2
309,975,23,2
310,952,43,5
311,954,41,5
312,952,43,5
313,947,48,5
314,954,41,5
315,956,39,5
316,955,40,5
317,956,38,6
318,957,38,5
319,955,41,4
320,957,39,4
321,937,52,11
322,940,48,12
323,939,49,12
324,946,42,12
325,945,42,13
326,942,46,12
327,942,45,13
328,942,45,13
329,947,43,10
330,947,43,10
331,945,45,10
332,944,48,8
333,946,48,6
334,915,69,16
335,915,70,15
336,918,67,15
337,925,62,13
338,920,67,13
339,917,71,12
340,922,67,11
341,926,63,11
342,931,58,11
343,930,59,11
344,933,58,9
345,931,58,11
346,935,55,10
347,934,56,10
348,940,51,9
349,937,54,9
350,939,53,8
351,946,48,6
352,949,43,8
353,950,43,7
354,951,42,7
355,948,45,7
356,948,45,7
357,953,40,7
358,950,44,6
359,951,44,5
360,931,59,10
361,932,58,10
362,931,58,11
363,929,61,10
364,931,59,10
365,931,59,10
366,935,55,10
367,935,54,11
368,940,52,8
369,944,47,9
370,939,50,11
371,943,48,9
372,929,60,11
373,935,53,12
374,938,51,11
375,944,48,8
376,951,42,7
377,952,42,6
378,948,47,5
379,948,47,5
380,944,51,5
381,947,49,4
382,948,48,4
383,951,45,4
384,955,41,4
385,957,39,4
386,956,40,4
387,958,41,1
388,960,39,1
389,961,38,1
390,963,36,1
391,965,34,1
392,966,32,2
393,965,32,3
394,966,31,3
395,967,30,3
396,964,33,3
397,942,47,11
398,932,57,11
399,930,57,13
400,924,63,13
401,926,61,13
402,931,60,9
