"Time","low","mid","up"
0,286,423,291
1,335,435,230
2,459,476,65
3,525,415,60
4,553,388,59
5,606,357,37
6,623,347,30
7,623,354,23
8,624,349,27
9,628,349,23
10,635,345,20
11,653,329,18
12,665,311,24
13,659,321,20
14,633,343,24
15,633,347,20
16,637,339,24
17,629,349,22
18,613,361,26
19,625,338,37
20,616,348,36
21,604,373,23
22,615,357,28
23,566,351,83
24,578,360,62
25,609,350,41
26,621,346,33
27,644,332,24
28,659,318,23
29,634,329,37
30,633,345,22
31,634,340,26
32,660,328,12
33,685,305,10
34,707,285,8
35,740,257,3
36,737,260,3
37,720,276,4
38,729,266,5
39,714,281,5
40,702,292,6
41,706,289,5
42,695,300,5
43,716,278,6
44,725,271,4
45,722,273,5
46,756,239,5
47,775,221,4
48,773,223,4
49,785,211,4
50,785,212,3
51,769,228,3
52,772,225,3
53,801,196,3
54,830,167,3
55,843,154,3
56,827,170,3
57,844,153,3
58,839,158,3
59,821,176,3
60,811,186,3
61,786,210,4
62,694,297,9
63,704,287,9
64,702,290,8
65,691,299,10
66,710,284,6
67,724,270,6
68,720,275,5
69,752,245,3
70,778,219,3
71,800,197,3
72,805,193,2
73,809,188,3
74,841,156,3
75,857,140,3
76,860,137,3
77,845,153,2
78,846,152,2
79,873,125,2
80,888,110,2
81,897,101,2
82,887,110,3
83,882,115,3
84,875,122,3
85,823,174,3
86,834,164,2
87,863,135,2
88,880,118,2
89,885,113,2
90,888,110,2
91,911,87,2
92,918,80,2
93,918,80,2
94,921,77,2
95,909,89,2
96,923,75,2
97,907,91,2
98,915,83,2
99,915,83,2
100,912,86,2
101,917,81,2
102,920,78,2
103,934,64,2
104,941,57,2
105,949,49,2
106,962,37,1
107,761,233,6
108,749,244,7
109,753,239,8
110,756,236,8
111,731,262,7
112,747,247,6
113,719,273,8
114,741,253,6
115,741,252,7
116,723,270,7
117,704,288,8
118,717,279,4
119,741,255,4
120,737,258,5
121,731,263,6
122,709,284,7
123,693,299,8
124,719,273,8
125,734,257,9
126,709,280,11
127,684,303,13
128,673,313,14
129,675,311,14
130,676,310,14
131,675,306,19
132,663,319,18
133,659,324,17
134,672,312,16
135,676,308,16
136,669,315,16
137,662,315,23
138,656,329,15
139,645,342,13
140,644,322,34
141,650,324,26
142,626,342,32
143,631,333,36
144,625,351,24
145,628,339,33
146,630,340,30
147,620,344,36
148,645,329,26
149,667,310,23
150,683,302,15
151,721,267,12
152,717,267,16
153,696,287,17
154,705,280,15
155,688,299,13
156,684,298,18
157,670,315,15
158,645,329,26
159,638,337,25
160,649,324,27
161,668,317,15
162,698,292,10
163,690,300,10
164,679,310,11
165,665,317,18
166,648,330,22
167,657,326,17
168,636,339,25
169,634,338,28
170,620,355,25
171,639,326,35
172,644,317,39
173,613,346,41
174,649,335,16
175,671,319,10
176,708,288,4
177,715,282,3
178,728,270,2
179,755,243,2
180,764,234,2
181,783,215,2
182,768,230,2
183,771,228,1
184,763,236,1
185,793,206,1
186,806,193,1
187,794,205,1
188,803,196,1
189,815,184,1
190,832,167,1
191,851,148,1
192,857,142,1
193,848,151,1
194,861,138,1
195,876,123,1
196,881,118,1
197,891,108,1
198,897,102,1
199,657,324,19
200,694,290,16
201,701,293,6
202,729,268,3
203,739,257,4
204,730,266,4
205,709,286,5
206,712,280,8
207,720,272,8
208,704,287,9
209,700,292,8
210,708,282,10
211,689,299,12
212,695,297,8
213,708,278,14
214,706,286,8
215,715,278,7
216,723,270,7
217,709,282,9
218,712,276,12
219,702,286,12
220,716,278,6
221,734,259,7
222,794,199,7
223,820,173,7
224,795,196,9
225,723,265,12
226,723,270,7
227,739,253,8
228,772,222,6
229,805,189,6
230,804,192,4
231,815,181,4
232,809,187,4
233,813,184,3
234,812,185,3
235,801,196,3
236,800,197,3
237,776,220,4
238,767,229,4
239,768,228,4
240,767,229,4
241,761,234,5
242,760,235,5
243,763,231,6
244,743,251,6
245,765,230,5
246,777,219,4
247,775,221,4
248,792,205,3
249,798,200,2
250,786,212,2
251,795,203,2
252,598,352,50
253,533,352,115
254,535,366,99
255,495,389,116
256,541,380,79
257,567,373,60
258,590,368,42
259,605,365,30
260,588,368,44
261,590,364,46
262,599,370,31
263,501,372,127
264,498,380,122
265,517,369,114
266,537,376,87
267,548,377,75
268,536,379,85
269,551,362,87
270,535,388,77
271,580,365,55
272,589,362,49
273,608,357,35
274,629,344,27
275,638,343,19
276,654,330,16
277,665,325,10
278,683,304,13
279,710,285,5
280,696,294,10
281,684,307,9
282,660,332,8
283,668,321,11
284,661,330,9
285,653,334,13
286,681,307,12
287,651,332,17
288,616,351,33
289,575,383,42
290,604,366,30
291,597,356,47
292,610,353,37
293,648,332,20
294,652,329,19
295,695,292,13
296,708,282,10
297,721,277,2
298,739,259,2
299,779,219,2
300,795,203,2
301,800,198,2
302,599,379,22
303,602,371,27
304,624,347,29
305,599,368,33
306,605,358,37
307,611,364,25
308,624,358,18
309,652,334,14
310,691,299,10
311,717,278,5
312,710,284,6
313,546,383,71
314,592,368,40
315,647,334,19
316,711,275,14
317,706,285,9
318,712,284,4
319,735,264,1
320,754,245,1
321,783,216,1
322,534,368,98
323,515,366,119
324,536,361,103
325,543,353,104
326,549,350,101
327,557,345,98
328,568,337,95
329,568,342,90
330,572,392,36
331,614,354,32
332,646,335,19
333,660,319,21
334,674,311,15
335,618,355,27
336,607,358,35
337,612,352,36
338,645,329,26
339,625,344,31
340,631,327,42
341,613,358,29
342,658,326,16
343,641,325,34
344,639,329,32
345,624,351,25
346,641,338,21
347,627,341,32
348,623,350,27
349,611,366,23
350,627,351,22
351,661,321,18
352,666,315,19
353,661,329,10
354,678,306,16
355,695,290,15
